datum	backend	prefix	version	test	depth	t_s	sd
2026-09-14	vulkan	/opt/llama-cpp	v0.2.0	pp512	0	746.57	0.89
2026-09-14	vulkan	/opt/llama-cpp	v0.2.0	tg128	0	37.84	0.15
2026-09-14	vulkan	/opt/llama-cpp	v0.2.0	pp512	8192	685.83	9.07
2026-09-14	vulkan	/opt/llama-cpp	v0.2.0	tg128	8192	36.58	0.12
2026-09-14	vulkan	/opt/llama-cpp	v0.2.0	pp512	32768	527.52	5.21
2026-09-14	vulkan	/opt/llama-cpp	v0.2.0	tg128	32768	33.96	0.06
2026-09-14	vulkan	/opt/llama-cpp-master	5f436dddb	pp512	0	766.71	0.80
2026-09-14	vulkan	/opt/llama-cpp-master	5f436dddb	tg128	0	38.04	0.09
2026-09-14	vulkan	/opt/llama-cpp-master	5f436dddb	pp512	8192	695.74	10.86
2026-09-14	vulkan	/opt/llama-cpp-master	5f436dddb	tg128	8192	36.97	0.01
2026-09-14	vulkan	/opt/llama-cpp-master	5f436dddb	pp512	32768	536.80	8.00
2026-09-14	vulkan	/opt/llama-cpp-master	5f436dddb	tg128	32768	34.35	0.19
2026-09-15	vulkan	/opt/llama-cpp	v0.2.0	pp512	0	735.72	1.03
2026-09-15	vulkan	/opt/llama-cpp	v0.2.0	tg128	0	37.78	0.06
2026-09-15	vulkan	/opt/llama-cpp	v0.2.0	pp512	8192	669.91	7.14
2026-09-15	vulkan	/opt/llama-cpp	v0.2.0	tg128	8192	36.85	0.04
2026-09-15	vulkan	/opt/llama-cpp	v0.2.0	pp512	32768	518.38	2.96
2026-09-15	vulkan	/opt/llama-cpp	v0.2.0	tg128	32768	33.79	0.22
2026-09-15	vulkan	/opt/llama-cpp-master	7cf1c54a9	pp512	0	754.32	2.89
2026-09-15	vulkan	/opt/llama-cpp-master	7cf1c54a9	tg128	0	37.98	0.10
2026-09-15	vulkan	/opt/llama-cpp-master	7cf1c54a9	pp512	8192	682.55	14.37
2026-09-15	vulkan	/opt/llama-cpp-master	7cf1c54a9	tg128	8192	36.89	0.02
2026-09-15	vulkan	/opt/llama-cpp-master	7cf1c54a9	pp512	32768	527.55	3.23
2026-09-15	vulkan	/opt/llama-cpp-master	7cf1c54a9	tg128	32768	34.31	0.20
2026-09-15	hip	/opt/llama-cpp-rocm-master	7cf1c54a9	pp512	0	814.71	22.50
2026-09-15	hip	/opt/llama-cpp-rocm-master	7cf1c54a9	tg128	0	35.16	0.10
2026-09-15	hip	/opt/llama-cpp-rocm-master	7cf1c54a9	pp512	8192	777.52	29.30
2026-09-15	hip	/opt/llama-cpp-rocm-master	7cf1c54a9	tg128	8192	33.30	0.08
2026-09-15	hip	/opt/llama-cpp-rocm-master	7cf1c54a9	pp512	32768	654.43	9.41
2026-09-15	hip	/opt/llama-cpp-rocm-master	7cf1c54a9	tg128	32768	27.97	0.09
2026-09-16	vulkan	/opt/llama-cpp	v0.2.0	pp512	0	740.83	1.33
2026-09-16	vulkan	/opt/llama-cpp	v0.2.0	tg128	0	37.72	0.01
2026-09-16	vulkan	/opt/llama-cpp	v0.2.0	pp512	8192	682.60	10.17
2026-09-16	vulkan	/opt/llama-cpp	v0.2.0	tg128	8192	36.58	0.02
2026-09-16	vulkan	/opt/llama-cpp	v0.2.0	pp512	32768	528.67	4.02
2026-09-16	vulkan	/opt/llama-cpp	v0.2.0	tg128	32768	33.72	0.25
2026-09-16	vulkan	/opt/llama-cpp-master	38a5b42d9	pp512	0	763.75	0.92
2026-09-16	vulkan	/opt/llama-cpp-master	38a5b42d9	tg128	0	37.96	0.09
2026-09-16	vulkan	/opt/llama-cpp-master	38a5b42d9	pp512	8192	696.26	9.62
2026-09-16	vulkan	/opt/llama-cpp-master	38a5b42d9	tg128	8192	36.92	0.04
2026-09-16	vulkan	/opt/llama-cpp-master	38a5b42d9	pp512	32768	538.00	8.41
2026-09-16	vulkan	/opt/llama-cpp-master	38a5b42d9	tg128	32768	34.31	0.13
2026-09-16	hip	/opt/llama-cpp-rocm-master	38a5b42d9	pp512	0	820.05	36.27
2026-09-16	hip	/opt/llama-cpp-rocm-master	38a5b42d9	tg128	0	35.10	0.12
2026-09-16	hip	/opt/llama-cpp-rocm-master	38a5b42d9	pp512	8192	783.49	24.22
2026-09-16	hip	/opt/llama-cpp-rocm-master	38a5b42d9	tg128	8192	33.38	0.09
2026-09-16	hip	/opt/llama-cpp-rocm-master	38a5b42d9	pp512	32768	658.97	8.53
2026-09-16	hip	/opt/llama-cpp-rocm-master	38a5b42d9	tg128	32768	28.04	0.07
2026-09-17	vulkan	/opt/llama-cpp	v0.2.0	pp512	0	741.70	1.42
2026-09-17	vulkan	/opt/llama-cpp	v0.2.0	tg128	0	37.91	0.17
2026-09-17	vulkan	/opt/llama-cpp	v0.2.0	pp512	8192	679.59	10.30
2026-09-17	vulkan	/opt/llama-cpp	v0.2.0	tg128	8192	36.79	0.01
2026-09-17	vulkan	/opt/llama-cpp	v0.2.0	pp512	32768	528.69	1.79
2026-09-17	vulkan	/opt/llama-cpp	v0.2.0	tg128	32768	33.75	0.24
2026-09-17	vulkan	/opt/llama-cpp-master	fb27a525d	pp512	0	762.20	2.96
2026-09-17	vulkan	/opt/llama-cpp-master	fb27a525d	tg128	0	38.00	0.10
2026-09-17	vulkan	/opt/llama-cpp-master	fb27a525d	pp512	8192	696.97	10.78
2026-09-17	vulkan	/opt/llama-cpp-master	fb27a525d	tg128	8192	36.94	0.06
2026-09-17	vulkan	/opt/llama-cpp-master	fb27a525d	pp512	32768	536.68	7.29
2026-09-17	vulkan	/opt/llama-cpp-master	fb27a525d	tg128	32768	34.14	0.11
2026-09-17	hip	/opt/llama-cpp-rocm-master	fb27a525d	pp512	0	815.91	35.79
2026-09-17	hip	/opt/llama-cpp-rocm-master	fb27a525d	tg128	0	35.29	0.10
2026-09-17	hip	/opt/llama-cpp-rocm-master	fb27a525d	pp512	8192	789.88	18.77
2026-09-17	hip	/opt/llama-cpp-rocm-master	fb27a525d	tg128	8192	33.49	0.09
2026-09-17	hip	/opt/llama-cpp-rocm-master	fb27a525d	pp512	32768	641.49	27.40
2026-09-17	hip	/opt/llama-cpp-rocm-master	fb27a525d	tg128	32768	28.08	0.10
